dataset,labelset,labelset_rank,label,iri
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,COP,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0010
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,Ependymal,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0012
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,Endo,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0011
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,STR D2 MSN,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0029
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,STR D1 MSN,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0028
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,M Dopa,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0025
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,SMC,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0024
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,SN PAX7 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0026
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,OT Granular GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0021
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,OPC,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0020
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,Pericyte,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0023
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,Oligodendrocyte,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0022
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,ACx MEIS2 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0036
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,VLMC,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0035
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,Monocyte,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0038
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,F GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0037
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,STR SST GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0032
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,STR RSPO2 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0031
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,STR SST-CHODL GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0033
HMBA Basal Ganglia Consensus Taxonomy,Subclass,1,STR Hybrid MSN,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_SUBCL_0030
HMBA Basal Ganglia Consensus Taxonomy,Group,0,BAM,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0001
HMBA Basal Ganglia Consensus Taxonomy,Group,0,B cells,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0000
HMBA Basal Ganglia Consensus Taxonomy,Group,0,GPin-BF Cholinergic GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0003
HMBA Basal Ganglia Consensus Taxonomy,Group,0,LAMP5-LHX6 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0005
HMBA Basal Ganglia Consensus Taxonomy,Group,0,LAMP5-CXCL14 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0004
HMBA Basal Ganglia Consensus Taxonomy,Group,0,COP,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0009
HMBA Basal Ganglia Consensus Taxonomy,Group,0,BF SKOR1 Glut,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0008
HMBA Basal Ganglia Consensus Taxonomy,Group,0,Ependymal,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0012
HMBA Basal Ganglia Consensus Taxonomy,Group,0,Endo,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0011
HMBA Basal Ganglia Consensus Taxonomy,Group,0,GPe SOX6-CTXND1 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0014
HMBA Basal Ganglia Consensus Taxonomy,Group,0,GPe MEIS2-SOX6 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0013
HMBA Basal Ganglia Consensus Taxonomy,Group,0,GPi Shell,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0016
HMBA Basal Ganglia Consensus Taxonomy,Group,0,GPi Core,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0015
HMBA Basal Ganglia Consensus Taxonomy,Group,0,ImOligo,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0018
HMBA Basal Ganglia Consensus Taxonomy,Group,0,ImAstro,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0017
HMBA Basal Ganglia Consensus Taxonomy,Group,0,Microglia,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0019
HMBA Basal Ganglia Consensus Taxonomy,Group,0,OPC,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0023
HMBA Basal Ganglia Consensus Taxonomy,Group,0,Monocyte,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0022
HMBA Basal Ganglia Consensus Taxonomy,Group,0,Oligo OPALIN,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0025
HMBA Basal Ganglia Consensus Taxonomy,Group,0,OT D1 ICj,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0024
HMBA Basal Ganglia Consensus Taxonomy,Group,0,Pericyte,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0027
HMBA Basal Ganglia Consensus Taxonomy,Group,0,Oligo PLEKHG1,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0026
HMBA Basal Ganglia Consensus Taxonomy,Group,0,SN-VTR CALB1 Dopa,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0029
HMBA Basal Ganglia Consensus Taxonomy,Group,0,SMC,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0028
HMBA Basal Ganglia Consensus Taxonomy,Group,0,GPe-NDB-SI LHX6-LHX8-GBX1 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0020
HMBA Basal Ganglia Consensus Taxonomy,Group,0,SN SEMA5A GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0034
HMBA Basal Ganglia Consensus Taxonomy,Group,0,SN GATA3-PVALB GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0033
HMBA Basal Ganglia Consensus Taxonomy,Group,0,SN SOX6 Dopa,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0035
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STH PVALB-PITX2 Glut,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0038
HMBA Basal Ganglia Consensus Taxonomy,Group,0,SN-VTR-HTH GATA3-TCF7L2 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0037
HMBA Basal Ganglia Consensus Taxonomy,Group,0,Astrocyte,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0039
HMBA Basal Ganglia Consensus Taxonomy,Group,0,SN EBF2 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0030
HMBA Basal Ganglia Consensus Taxonomy,Group,0,SN GATA3-PAX8 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0032
HMBA Basal Ganglia Consensus Taxonomy,Group,0,SN-VTR GAD2 Dopa,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0031
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STR TAC3-PLPP4 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0045
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STR SST-RSPO2 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0044
HMBA Basal Ganglia Consensus Taxonomy,Group,0,VIP GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0047
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STR-BF TAC3-PLPP4-LHX8 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0046
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STRd D1 Matrix MSN,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0049
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STRd Cholinergic GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0048
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STR LYPD6-RSPO2 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0041
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STR FS PTHLH-PVALB GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0040
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STR SST-CHODL GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0043
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STR SST-ADARB2 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0042
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STRv D1 MSN,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0056
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STR Cholinergic GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0055
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STRv D2 MSN,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0058
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STRv D1 NUDAP MSN,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0057
HMBA Basal Ganglia Consensus Taxonomy,Group,0,T cells,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0059
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STRd D1 Striosome MSN,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0050
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STRd D2 Matrix MSN,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0052
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STR D1D2 Hybrid MSN,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0051
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STRd D2 Striosome MSN,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0054
HMBA Basal Ganglia Consensus Taxonomy,Group,0,STRd D2 StrioMat Hybrid MSN,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0053
HMBA Basal Ganglia Consensus Taxonomy,Group,0,OB Dopa-GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0067
HMBA Basal Ganglia Consensus Taxonomy,Group,0,AMY-SLEA-BNST GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0066
HMBA Basal Ganglia Consensus Taxonomy,Group,0,OB FRMD7 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0068
HMBA Basal Ganglia Consensus Taxonomy,Group,0,ZI-HTH GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0063
HMBA Basal Ganglia Consensus Taxonomy,Group,0,VLMC,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0062
HMBA Basal Ganglia Consensus Taxonomy,Group,0,AMY-SLEA-BNST D1 GABA,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0065
HMBA Basal Ganglia Consensus Taxonomy,Group,0,VTR-HTH Glut,https://purl.brain-bican.org/ontology/CS20250428/CS20250428_GROUP_0064
Whole Mouse Brain Taxonomy,neurotransmitter,,Glut,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_NEUR_Glut
Whole Mouse Brain Taxonomy,neurotransmitter,,Chol,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_NEUR_Chol
Whole Mouse Brain Taxonomy,neurotransmitter,,Nora,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_NEUR_Nora
Whole Mouse Brain Taxonomy,neurotransmitter,,GABA,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_NEUR_GABA
Whole Mouse Brain Taxonomy,neurotransmitter,,Glut-GABA,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_NEUR_Glut-GABA
Whole Mouse Brain Taxonomy,neurotransmitter,,Sero,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_NEUR_Sero
Whole Mouse Brain Taxonomy,neurotransmitter,,NA,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_NEUR_NA
Whole Mouse Brain Taxonomy,neurotransmitter,,Hist,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_NEUR_Hist
Whole Mouse Brain Taxonomy,neurotransmitter,,GABA-Glyc,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_NEUR_GABA-Glyc
Whole Mouse Brain Taxonomy,neurotransmitter,,Dopa,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_NEUR_Dopa
Whole Mouse Brain Taxonomy,class,3,30 Astro-Epen,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_30
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_33,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_33
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_34,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_34
Whole Mouse Brain Taxonomy,class,3,31 OPC-Oligo,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_31
Whole Mouse Brain Taxonomy,class,3,32 OEC,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_32
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_26,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_26
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_27,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_27
Whole Mouse Brain Taxonomy,class,3,24 MY Glut,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_24
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_25,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_25
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_28,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_28
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_29,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_29
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_22,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_22
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_23,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_23
Whole Mouse Brain Taxonomy,class,3,20 MB GABA,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_20
Whole Mouse Brain Taxonomy,class,3,21 MB Dopa,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_21
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_15,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_15
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_16,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_16
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_13,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_13
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_14,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_14
Whole Mouse Brain Taxonomy,class,3,19 MB Glut,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_19
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_17,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_17
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_18,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_18
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_11,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_11
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_12,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_12
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_10,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_10
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_04,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_04
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_05,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_05
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_02,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_02
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_03,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_03
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_08,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_08
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_09,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_09
Whole Mouse Brain Taxonomy,class,3,06 CTX-CGE GABA,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_06
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_07,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_07
Whole Mouse Brain Taxonomy,class,3,h5ad data file for CS20230722_CLAS_01,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_01
Whole Mouse Brain Taxonomy,subclass,2,180 SCiw Pitx2 Glut,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_180
Whole Mouse Brain Taxonomy,subclass,2,181 IC Tfap2d Maf Glut,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_181
Whole Mouse Brain Taxonomy,subclass,2,182 CUN-PPN Evx2 Meis2 Glut,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_182
Whole Mouse Brain Taxonomy,subclass,2,183 PBG Mtnr1a Glut-Chol,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_183
Whole Mouse Brain Taxonomy,subclass,2,h5ad data file for CS20230722_CLAS_19,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_184
Whole Mouse Brain Taxonomy,subclass,2,185 SCig Tfap2b Chrnb3 Glut,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_185
Whole Mouse Brain Taxonomy,subclass,2,h5ad data file for CS20230722_CLAS_19,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_186
Whole Mouse Brain Taxonomy,subclass,2,187 SCsg Pde5a Glut,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_187
Whole Mouse Brain Taxonomy,subclass,2,h5ad data file for CS20230722_CLAS_19,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_188
Whole Mouse Brain Taxonomy,subclass,2,h5ad data file for CS20230722_CLAS_19,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_189
Whole Mouse Brain Taxonomy,subclass,2,h5ad data file for CS20230722_CLAS_19,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_190
Whole Mouse Brain Taxonomy,subclass,2,191 PAG-MRN Rln3 Gaba,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_191
Whole Mouse Brain Taxonomy,subclass,2,192 PPN-CUN-PCG Otp En1 Gaba,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_192
Whole Mouse Brain Taxonomy,subclass,2,193 MRN-PPN-CUN Pax8 Gaba,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_193
Whole Mouse Brain Taxonomy,subclass,2,194 MRN-VTN-PPN Pax5 Cdh23 Gaba,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_194
Whole Mouse Brain Taxonomy,subclass,2,195 SNr-VTA Pax5 Npas1 Gaba,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_195
Whole Mouse Brain Taxonomy,subclass,2,196 PAG-PPN Pax5 Sox21 Gaba,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_196
Whole Mouse Brain Taxonomy,subclass,2,197 SNr Six3 Gaba,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_197
Whole Mouse Brain Taxonomy,subclass,2,198 IC Six3 En2 Gaba,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_198
Whole Mouse Brain Taxonomy,subclass,2,h5ad data file for CS20230722_CLAS_20,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_199
Whole Mouse Brain Taxonomy,subclass,2,160 PAG-SC Neurod2 Meis2 Glut,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_160
Whole Mouse Brain Taxonomy,subclass,2,161 PAG Pou4f3 Glut,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_161
Whole Mouse Brain Taxonomy,subclass,2,162 CUN Evx2 Lhx2 Glut,https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_SUBC_162
