class,AAA,ACAd,ACAv,ACB,ACVII,AD,ADP,AHN,AId,AIp,AIv,AM,AMB,AN,AOB,AON,AP,APN,APr,AQ,ARH,ASO,AT,AUDd,AUDp,AUDpo,AUDv,AV,AVP,AVPV,Acs5,B,BA,BLA,BMA,BST,CA1,CA2,CA3,CB-unassigned,CEA,CENT,CL,CLA,CLI,CM,COAa,COAp,COPY,CP,CS,CTXsp-unassigned,CU,CUL,CUN,DCO,DEC,DG,DMH,DMX,DN,DP,DR,DT,DTN,ECT,ECU,ENTl,ENTm,EPd,EPv,EW,Eth,FC,FL,FN,FOTU,FRP,FS,GPe,GPi,GRN,GU,HATA,HPF-unassigned,HY-unassigned,I5,IA,IAD,IAM,IC,ICB,IF,IG,IGL,III,IIIn,IIn,ILA,IMD,IO,IP,IPN,IRN,ISN,IV,IVn,In,IntG,LA,LAV,LC,LD,LDT,LGd,LGv,LH,LHA,LIN,LING,LM,LP,LPO,LRN,LSc,LSr,LSv,LT,MA,MA3,MARN,MB-unassigned,MD,MDRN,ME,MEA,MEPO,MG,MH,MM,MOB,MOp,MOs,MPN,MPO,MPT,MRN,MS,MT,MV,MY-unassigned,NB,NDB,NI,NLL,NLOT,NOD,NOT,NPC,NR,NTB,NTS,OLF-unassigned,OP,ORBl,ORBm,ORBvl,OT,OV,P-unassigned,P5,PA,PAA,PAG,PAL-unassigned,PAR,PARN,PAS,PB,PBG,PC5,PCG,PCN,PD,PDTg,PERI,PF,PFL,PG,PGRNd,PGRNl,PH,PIL,PIR,PL,PMd,PMv,PN,PO,POL,POST,PP,PPN,PPT,PPY,PR,PRE,PRM,PRNc,PRNr,PRP,PS,PST,PSTN,PSV,PT,PVH,PVHd,PVT,PVa,PVi,PVp,PVpo,PYR,Pa4,Pa5,PeF,PoT,ProS,RCH,RE,RH,RL,RM,RN,RO,RPA,RPF,RPO,RR,RSPagl,RSPd,RSPv,RT,SAG,SBPV,SCH,SCO,SCm,SCs,SEZ,SF,SFO,SG,SGN,SH,SI,SIM,SLC,SLD,SMT,SNc,SNr,SO,SOC,SPA,SPFm,SPFp,SPIV,SPVC,SPVI,SPVO,SSp-bfd,SSp-ll,SSp-m,SSp-n,SSp-tr,SSp-ul,SSp-un,SSs,STN,STR-unassigned,SUB,SUM,SUT,SUV,SubG,TEa,TH-unassigned,TMd,TMv,TR,TRN,TRS,TT,TU,UVU,V,V3-unassigned,V4-unassigned,V4r,VAL,VCO,VI,VII,VIIIn,VIIn,VISC,VISa,VISal,VISam,VISl,VISli,VISp,VISpl,VISpm,VISpor,VISrl,VL-unassigned,VLPO,VM,VMH,VMPO,VPL,VPLpc,VPM,VPMpc,VTA,VTN,VeCB,Vn,XII,Xi,Xn,ZI,arb,brain-unassigned,cbc,cbp,cc,chpl,cst,drt,epsc,fiber tracts-unassigned,lfbst,mfbc,mfsbshy,rust,scwm-unassigned,tsp,unassigned,x,y
11 CNU-HYa GABA,847,0,0,877,0,0,385,384,1,2,6,2,0,0,0,470,0,1,0,0,0,5,0,0,0,0,0,3,196,191,0,0,2,126,453,5312,11,0,3,0,4084,1,0,3,0,0,344,69,0,310,1,157,0,0,0,0,0,1,7,0,0,10,0,0,0,2,0,7,0,3,129,0,0,0,0,0,0,0,204,570,17,0,3,3,1,2186,0,152,0,0,2,0,1,0,7,0,0,137,1,0,0,0,1,0,0,0,0,229,0,23,0,0,0,0,0,21,0,411,0,0,0,0,992,0,1,540,912,0,282,0,0,2,0,0,0,4274,100,0,0,0,66,1,1,1465,1163,0,3,367,0,0,0,0,399,0,0,56,0,0,0,0,0,0,506,0,0,2,8,88,3,1,0,8,61,9,707,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,4,0,479,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,392,0,0,0,1,81,12,4,31,2,0,106,0,0,0,8,0,1,63,1,0,0,0,0,0,0,0,1,0,0,0,0,10,0,89,33,0,1,0,0,47,24,0,0,0,2574,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2472,0,0,0,0,0,0,16,0,0,5,0,5,193,13,0,0,60,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,23,46,0,1,49,1,0,0,0,0,0,0,0,0,0,0,64,0,76,0,0,59,41,91,1,1,161,8,548,161,0,1,0,21,0,0
12 HY GABA,5,0,0,0,0,0,5,2214,0,0,0,62,0,0,0,0,0,1,0,0,2375,55,0,0,0,0,0,29,63,301,0,0,0,0,0,200,0,0,2,0,16,1,3,0,0,0,0,0,0,0,8,0,0,0,1,0,0,4,2087,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,117,0,0,0,0,5122,0,0,0,1,0,0,0,0,29,0,1,270,0,1,0,0,0,0,0,0,0,0,2,0,0,0,71,0,6,410,4,1962,0,0,4,17,199,0,0,2,8,0,2,0,0,86,12,0,108,13,6,3,1,5,0,0,0,833,571,0,13,4,0,0,0,0,18,1,6,0,0,0,1,0,0,1,2,0,0,0,0,0,5,8,0,0,0,36,239,0,1,0,2,0,0,6,1,83,0,0,0,0,0,0,0,514,0,0,0,0,70,0,0,0,0,0,2,1,0,58,0,0,2,13,0,2,13,103,0,4,183,441,5,360,406,77,531,0,0,0,409,1,0,126,6,0,0,0,0,0,0,0,0,0,0,0,0,6923,0,953,907,0,3,0,0,1,0,0,0,0,31,0,0,1,5,0,0,21,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,0,2,2,0,26,0,269,0,110,0,0,0,1,1201,0,0,142,0,0,45,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,67,51,721,311,94,1,1,2,0,1,0,0,0,2,0,4248,0,159,0,0,0,0,482,10,112,477,492,147,96,2,0,0,17,0,0
13 CNU-HYa Glut,404,0,0,106,0,0,100,28,15,103,25,47,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,7,86,367,0,0,6,454,2356,466,2,0,2,0,323,1,0,9,0,0,962,8,0,25,1,196,0,1,2,0,0,11,0,0,0,2,0,0,0,0,0,62,0,43,374,0,0,0,0,0,0,0,24,88,42,0,5,0,1,817,0,290,0,0,2,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,21,0,14,0,0,0,0,0,4,0,1108,0,0,0,1,259,0,2,256,170,0,308,0,0,7,0,0,0,3597,269,0,0,0,28,0,1,42,327,0,1,362,0,0,0,0,336,0,0,75,0,0,0,0,0,0,287,0,2,0,0,99,39,1,0,2,183,6,378,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,8,0,1030,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,33,0,0,1,22,37,1,53,0,0,0,15,0,0,0,33,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,3,0,2,764,81,0,0,0,1081,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,480,0,0,1,0,0,0,143,0,0,8,0,354,7,3,0,0,1263,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,4,25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,223,0,135,0,0,27,59,35,0,10,134,0,979,205,0,0,0,52,0,0
14 HY Glut,1,0,0,0,0,0,9,1362,0,0,0,0,0,0,0,0,0,4,0,0,880,1,0,0,0,0,0,1,43,315,0,0,0,0,0,193,0,0,0,0,3,2,0,0,0,0,0,0,0,0,11,0,0,1,4,0,0,0,1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,4203,0,0,0,0,2,0,0,0,0,0,0,167,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,2752,0,0,24,0,179,0,0,0,0,0,0,0,0,406,0,0,43,42,0,0,0,441,0,0,0,749,350,0,22,1,0,0,1,1,46,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,9,0,0,0,52,144,0,1,0,8,0,0,8,0,19,0,0,0,0,0,0,0,2712,0,0,0,3,527,0,0,0,0,0,1,0,0,0,0,0,4,6,0,1,24,648,1,0,1044,53,0,62,394,18,388,0,0,0,127,0,0,73,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,68,16,0,7,0,0,0,0,0,0,0,17,0,0,0,0,0,0,109,0,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,844,2,0,351,3,0,0,0,8,0,73,0,0,0,0,1063,0,0,74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49,27,3727,115,0,0,0,0,2,0,0,0,0,0,0,230,0,38,0,0,0,0,81,2,74,326,0,90,131,0,0,0,35,0,0
15 HY Gnrh1 Glut,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 HY MM Glut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,413,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,127,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,9,0,0,0,1,0,0
17 MH-LH Glut,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,4463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,21,0,0,0,0,0,0,182,0,0,0,0,0,0
18 TH Glut,0,0,0,0,0,1126,0,0,0,0,0,1186,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1482,0,0,0,0,0,0,0,0,0,0,129,0,0,0,1422,0,0,1008,0,0,0,1,0,0,0,0,0,0,0,170,0,0,0,0,0,3,0,0,0,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,1,116,0,0,540,244,0,0,0,0,85,0,0,54,0,676,0,0,0,0,0,0,0,0,50,0,0,0,3131,0,2646,120,56,0,0,0,0,4342,0,0,0,0,0,1,0,0,0,81,5588,0,0,0,0,1787,19,0,0,0,0,0,0,0,10,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,665,0,0,0,1883,0,0,0,0,5,129,0,0,0,0,0,4545,337,0,21,0,0,0,386,0,0,0,0,0,0,0,0,0,1173,20,12,3304,0,0,0,0,0,0,0,0,275,0,0,1694,437,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,798,0,0,0,0,154,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,0,0,0,0,0,0,0,0,55,0,0,1448,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1684,0,0,1998,232,5926,692,0,0,0,0,0,368,0,178,0,433,0,0,0,0,6,19,0,101,155,72,308,0,0,0,3,0,0
19 MB Glut,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2707,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,296,0,300,1,0,16,4,0,0,0,0,1,0,0,1778,1001,0,0,53,0,0,0,0,23,8,1,0,0,0,0,0,0,44,25,0,0,0,0,0,0,0,0,1,0,1,4,310,0,0,1,0,25546,0,26,0,2,12,90,171,0,13,0,0,5,0,0,3,5,0,0,0,0,4,0,85,0,26,189,9,0,0,0,37,0,0,0,0,0,29,0,22,0,9593,10,0,0,0,0,155,28,17,0,0,0,0,0,95,3229,0,2,10,0,167,0,0,65,0,0,235,353,0,0,0,0,41,0,0,0,0,0,80,0,0,0,11028,5,0,1,0,189,134,0,42,0,0,0,0,107,0,0,0,0,139,147,0,0,0,0,3,10,126,95,49,707,424,0,4,0,0,3,54,0,0,0,1,4,11,35,38,81,0,0,0,0,0,14,0,0,110,0,0,39,0,101,0,237,0,0,8,1,39,0,7,226,1,192,0,0,24,10718,4659,0,0,0,0,6,0,0,103,2,3,0,10,6,0,0,470,178,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,117,3,1,0,0,417,0,1,0,1,0,0,1,0,0,50,5,1,0,0,0,0,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,1,43,2,80,50,8,0,0,0,18,0,208,5,205,0,36,0,1,21,115,0,36,27,4,184,22,0,25,774,0,0
20 MB GABA,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1673,0,25,0,0,5,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,41,141,1,97,0,0,21,0,0,0,0,10,80,0,0,348,763,0,0,74,0,0,0,0,59,7,230,0,0,0,0,0,0,1,4,0,0,1,0,0,0,277,4,2,0,0,10,138,0,0,0,0,3864,4,7,0,54,8,54,118,0,0,0,31,433,0,0,9,8,0,0,0,12,0,0,89,91,426,12,13,0,0,7,63,1,0,0,0,0,10,7,1,0,6329,1,0,0,0,0,44,10,0,0,0,0,0,0,56,4171,1,27,54,9,88,7,55,210,0,0,310,307,0,3,0,9,73,0,0,0,5,0,273,1,0,0,4401,3,0,0,0,115,27,0,205,0,0,3,0,19,0,72,0,0,39,39,6,0,0,0,3,13,8,153,9,762,214,0,3,0,0,49,327,0,0,0,2,0,0,1,13,0,0,0,0,0,0,30,0,0,8,0,0,0,0,3,0,402,0,0,22,33,211,0,14,394,0,152,0,0,1,8340,9351,0,0,0,1,2,0,36,81,1,16,0,190,1431,0,38,35,98,3,4,0,0,0,0,1,1,0,0,0,0,0,5,2,54,39,3,63,2,0,129,0,0,0,5,0,0,0,0,0,34,2,0,2,0,0,1,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,5,30,17,161,7,5,1,0,0,0,726,3,381,0,173,0,0,318,120,2,234,63,49,42,65,0,50,853,0,0
21 MB Dopa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,230,0,0,0,2,0,0,0,0,0,148,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,1334,0,0,0,0,0,0,0,8,0,0,0,0,0,0,127,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,0,0,0,31,0,0,0,0,2,0,0,0,0,0,0,19,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,270,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,0,0,0,0,0,0,60,0,0,0,10,0,0,26,94,2,0,0,0,61,100,0,2,0,0,0
22 MB-HB Sero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,538,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,11,0,86,11,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,198,0,0,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,3,0,0,318,0,0,0,0,0,0,0,39,0,0,0,0,0,0,75,0,21,0,0,0,0,0,0,0,0,0,0,0,9,0,24,0,0,0,18,67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,67,0,28,63,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,96,0,0,0,0,1,0,2,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,66,0,0,22,87,0,0,0,0,2,2,0,23,12,0,0
23 P Glut,1,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,3,0,6,0,0,3,0,0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,328,0,483,0,0,1,0,0,0,56,0,199,0,1,183,171,7,0,0,0,0,2,0,9,0,24,0,88,0,0,0,0,0,0,0,3,2,0,0,0,0,1,109,0,0,0,3,32,0,0,0,13,1,2,0,0,0,11,1,0,0,0,7,120,84,2,0,8,0,0,0,15,41,0,272,0,0,2,7,7,0,0,0,0,122,0,0,0,0,0,0,19,361,0,0,0,0,0,0,0,3,0,0,0,0,0,0,424,0,0,428,823,10,0,71,411,0,33,1,0,2,111,48,0,0,0,0,0,0,0,5180,53,0,0,739,2,0,303,4,3661,0,39,624,0,0,77,0,0,2,3343,11,65,5,0,0,0,0,0,9,0,0,0,0,496,0,4,0,0,0,756,831,76,0,0,0,3106,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,7,1,0,0,1,22,2,0,0,0,0,1,0,0,0,19,0,0,0,0,30,0,0,1,2,12,42,0,0,5,0,521,0,0,0,135,0,120,211,0,0,0,0,0,0,0,0,0,0,0,11,282,17,0,0,0,0,0,0,1389,0,0,0,22,61,0,34,46,0,105,6,13,348,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,2,364,2,0,0,1,285,370,0,1002,0,133,120,205,0,0,0,0,14,53,0,54,1645,74,8
24 MY Glut,1,0,0,0,2,0,0,0,0,0,0,0,26,1,0,0,16,48,0,0,0,0,1,0,0,0,0,0,1,0,15,1,0,0,0,0,0,0,0,210,0,12,0,0,0,0,0,0,121,0,89,0,58,10,126,298,0,0,0,88,109,0,0,0,0,0,81,0,0,0,0,0,1,0,892,216,0,0,0,0,8,861,0,0,0,31,39,0,0,0,55,27,0,0,0,29,34,0,0,0,891,375,0,1199,18,0,0,0,0,0,128,25,0,34,0,0,0,62,20,0,0,0,8,83,0,0,0,0,0,0,199,372,0,33,0,1,0,0,0,1,0,0,0,0,1,0,616,0,0,1921,1688,2,8,45,65,0,114,0,23,2,5,1266,0,0,0,0,0,0,0,761,192,0,0,418,17,0,1739,66,384,0,31,111,0,0,45,0,1,134,4,70,246,18,0,0,0,0,0,0,0,0,0,0,63,0,36,0,0,11,999,691,109,0,0,2,231,0,0,1,0,0,0,0,0,0,0,119,8,0,0,0,0,0,0,44,27,12,90,0,8,4,0,0,0,2,1,0,0,0,541,2,0,0,0,6,0,0,1,2,39,25,0,2,2,0,70,0,2,0,559,6,1558,988,0,0,0,0,0,0,0,0,1,0,0,0,159,138,0,0,2,0,0,0,136,0,0,0,34,434,0,229,128,0,1102,20,657,96,26,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,9,335,91,0,3,47,661,113,4,151,0,167,217,13,0,1,1,0,5,42,0,73,169,18,12
25 Pineal Glut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0
26 P GABA,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,49,0,0,62,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,67,0,26,0,0,15,0,0,0,0,0,1428,0,0,37,41,4,0,0,0,0,1,0,30,0,519,0,0,0,0,0,0,0,0,0,10,18,0,0,0,0,0,339,0,0,0,0,6,0,0,0,2,17,17,0,0,0,28,0,0,0,1,17,801,193,0,0,2,0,0,0,48,1,0,392,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,44,537,0,2,0,0,0,0,0,22,0,0,0,0,0,0,468,0,0,211,314,1,0,308,908,0,1,1,0,3,329,6,0,0,0,0,0,0,0,1992,34,0,0,381,0,0,151,0,164,0,93,1606,0,0,182,0,0,2,93,27,24,0,0,0,0,0,0,3,0,0,0,0,126,0,9,0,0,0,970,1931,17,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0,0,159,2,0,1,0,0,0,0,0,0,7,1,0,0,0,7,0,0,0,0,10,67,0,0,4,0,932,0,0,0,42,0,28,103,0,0,0,0,0,0,0,0,0,0,0,45,37,16,0,0,0,0,0,0,513,0,0,0,0,24,0,37,0,0,19,0,73,447,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,78,11,106,0,0,0,7,30,47,0,411,0,7,18,68,1,0,0,0,6,112,0,87,8,0,1
27 MY GABA,1,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,82,33,0,0,0,0,8,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,213,0,36,0,0,0,0,0,0,129,0,57,0,357,29,23,23,0,0,1,30,146,0,2,0,1,0,97,0,0,0,0,1,0,0,1,21,0,0,0,0,0,1142,0,0,0,20,8,0,0,0,12,19,0,0,0,1,42,0,0,0,15,276,2,1127,4,1,0,0,0,0,46,1,0,28,0,1,0,4,22,0,0,0,0,95,0,0,0,0,0,0,400,181,0,38,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,2100,1558,1,0,6,256,0,157,0,7,50,10,1190,0,0,0,0,0,0,0,938,171,0,0,242,1,0,1587,53,176,2,28,46,0,0,1,0,0,6,1,283,707,3,0,0,0,0,0,0,0,0,0,0,91,2,135,0,0,9,1066,796,511,0,0,1,227,0,0,1,0,0,0,0,0,0,1,216,0,0,0,0,0,0,0,101,47,7,56,6,6,11,0,0,0,0,0,0,0,0,124,1,0,0,0,8,0,0,1,0,8,12,0,1,0,0,100,0,0,0,692,9,2362,548,0,0,0,0,0,0,0,0,3,0,0,0,95,121,0,0,2,0,0,0,105,0,0,0,101,58,0,636,128,0,17,1,209,124,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,80,461,84,0,3,130,224,163,0,195,0,325,68,56,2,0,1,1,1,90,0,66,382,31,16
