parent_curie,parent_label,parent_labelset,cluster_count,is_consistent,consistent_neurotransmitters,pattern_variety,all_patterns
WMB:CS20230722_SUPT_0933,0933 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",2,True,Glut,1,Glut
WMB:CS20230722_SUPT_0934,0934 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_4,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",2,True,Glut,1,Glut
WMB:CS20230722_SUPT_0931,0931 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0932,0932 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0930,0930 PCG-PRNr Vsx2 Nkx6-1 Glut_6,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",2,True,Glut,2,Glut-Glyc|Glut
WMB:CS20230722_SUPT_0939,0939 PSV Pvalb Lhx2 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0937,0937 PRNc-PARN Tlx1 Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",2,True,Glut,1,Glut
WMB:CS20230722_SUPT_0938,0938 PB-PSV Phox2b Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0992,0992 MV-SPIV Phox2b Ebf3 Lbx1 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",11,True,Glut,1,Glut
WMB:CS20230722_SUPT_0990,0990 CU-ECU-SPVI Foxb1 Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",2,True,Glut,1,Glut
WMB:CS20230722_SUPT_0988,0988 CU-ECU-SPVI Foxb1 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",20,True,Glut,1,Glut
WMB:CS20230722_SUPT_0989,0989 CU-ECU-SPVI Foxb1 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0986,0986 SPVI-SPVC Tlx3 Ebf3 Glut_6,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0987,0987 SPVI-SPVC Tlx3 Ebf3 Glut_7,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0984,0984 SPVI-SPVC Tlx3 Ebf3 Glut_4,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",7,True,Glut,1,Glut
WMB:CS20230722_SUPT_0985,0985 SPVI-SPVC Tlx3 Ebf3 Glut_5,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0999,0999 MV-SPIV Zic4 Neurod2 Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,2,Glut-Chol|Glut
WMB:CS20230722_SUPT_0997,0997 MV-SPIV Zic4 Neurod2 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",9,True,Glut,1,Glut
WMB:CS20230722_SUPT_0998,0998 MV-SPIV Zic4 Neurod2 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0972,0972 PGRNd Dmbx1 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,2,Glut-Chol|Glut
WMB:CS20230722_SUPT_0968,0968 NTS Phox2b Glut_10,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0966,0966 NTS Phox2b Glut_8,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0967,0967 NTS Phox2b Glut_9,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0964,0964 NTS Phox2b Glut_6,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0965,0965 NTS Phox2b Glut_7,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0962,0962 NTS Phox2b Glut_4,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",10,True,Glut,1,Glut
WMB:CS20230722_SUPT_0963,0963 NTS Phox2b Glut_5,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",12,True,Glut,1,Glut
WMB:CS20230722_SUPT_0982,0982 SPVI-SPVC Tlx3 Ebf3 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",7,True,Glut,1,Glut
WMB:CS20230722_SUPT_0983,0983 SPVI-SPVC Tlx3 Ebf3 Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",7,True,Glut,1,Glut
WMB:CS20230722_SUPT_0980,0980 MV-SPIV Slc6a2 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0981,0981 SPVI-SPVC Tlx3 Ebf3 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",5,True,Glut,1,Glut
WMB:CS20230722_SUPT_0979,0979 PGRN-PARN-MDRN Hoxb5 Glut_7,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",10,True,Glut,2,Glut-GABA|Glut
WMB:CS20230722_SUPT_0977,0977 PGRN-PARN-MDRN Hoxb5 Glut_5,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",14,True,Glut,1,Glut
WMB:CS20230722_SUPT_0978,0978 PGRN-PARN-MDRN Hoxb5 Glut_6,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",12,True,Glut,1,Glut
WMB:CS20230722_SUPT_0975,0975 PGRN-PARN-MDRN Hoxb5 Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",10,True,Glut,1,Glut
WMB:CS20230722_SUPT_0976,0976 PGRN-PARN-MDRN Hoxb5 Glut_4,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",12,True,Glut,2,Glut-Chol|Glut
WMB:CS20230722_SUPT_0973,0973 PGRN-PARN-MDRN Hoxb5 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",20,True,Glut,2,Glut-Chol|Glut
WMB:CS20230722_SUPT_0974,0974 PGRN-PARN-MDRN Hoxb5 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",15,True,Glut,3,Glut-GABA|Glut-Chol|Glut
WMB:CS20230722_SUPT_0902,0902 PSV Lmx1a Trpv6 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0903,0903 PB-SUT Tlx3 Lhx2 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",2,True,Glut,1,Glut
WMB:CS20230722_SUPT_0900,0900 PB Lmx1a Glut_6,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",5,True,Glut,2,Glut-Glyc|Glut
WMB:CS20230722_SUPT_0901,0901 PB Lmx1a Glut_7,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0908,0908 LDT-PCG Vsx2 Lhx4 Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",5,True,Glut,1,Glut
WMB:CS20230722_SUPT_0909,0909 LDT-PCG Vsx2 Lhx4 Glut_4,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",7,True,Glut,1,Glut
WMB:CS20230722_SUPT_0906,0906 LDT-PCG Vsx2 Lhx4 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0907,0907 LDT-PCG Vsx2 Lhx4 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",7,True,Glut,1,Glut
WMB:CS20230722_SUPT_0904,0904 PB Pax5 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",7,True,Glut,1,Glut
WMB:CS20230722_SUPT_0905,0905 PB Pax5 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",2,True,Glut,1,Glut
WMB:CS20230722_SUPT_0913,0913 LDT-PCG Vsx2 Lhx4 Glut_8,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0914,0914 PB Evx2 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0911,0911 LDT-PCG Vsx2 Lhx4 Glut_6,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0912,0912 LDT-PCG Vsx2 Lhx4 Glut_7,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0910,0910 LDT-PCG Vsx2 Lhx4 Glut_5,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0919,0919 PB Evx2 Glut_6,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",9,True,Glut,1,Glut
WMB:CS20230722_SUPT_0917,0917 PB Evx2 Glut_4,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0918,0918 PB Evx2 Glut_5,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",8,True,Glut,1,Glut
WMB:CS20230722_SUPT_0915,0915 PB Evx2 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",9,True,Glut,1,Glut
WMB:CS20230722_SUPT_0916,0916 PB Evx2 Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",16,True,Glut,2,Glut-GABA|Glut
WMB:CS20230722_SUPT_0553,0553 DMH Hmx2 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",2,True,Glut,1,Glut
WMB:CS20230722_SUPT_0554,0554 ARH-PVp Tbx3 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0551,0551 MPN-MPO-PVpo Hmx2 Glut_6,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0552,0552 DMH Hmx2 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",9,True,Glut,2,Glut-GABA|Glut
WMB:CS20230722_SUPT_0550,0550 MPN-MPO-PVpo Hmx2 Glut_5,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,2,Glut-GABA|Glut
WMB:CS20230722_SUPT_0548,0548 MPN-MPO-PVpo Hmx2 Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",5,True,Glut,1,Glut
WMB:CS20230722_SUPT_0549,0549 MPN-MPO-PVpo Hmx2 Glut_4,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",5,True,Glut,1,Glut
WMB:CS20230722_SUPT_0546,0546 MPN-MPO-PVpo Hmx2 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",9,True,Glut,1,Glut
WMB:CS20230722_SUPT_0547,0547 MPN-MPO-PVpo Hmx2 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",7,True,Glut,1,Glut
WMB:CS20230722_SUPT_0545,0545 DMH Nkx2-4 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",5,True,Glut,1,Glut
WMB:CS20230722_SUPT_0564,0564 VMH Fezf1 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0565,0565 VMH Fezf1 Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0563,0563 VMH Fezf1 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0561,0561 DMH-LHA Vgll2 Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",2,True,Glut,1,Glut
WMB:CS20230722_SUPT_0555,0555 ARH-PVp Tbx3 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,2,Glut|Glut-GABA
WMB:CS20230722_SUPT_0556,0556 ARH-PVp Tbx3 Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",2,True,Glut,1,Glut
WMB:CS20230722_SUPT_0531,0531 SI-MA-LPO-LHA Skor1 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",9,True,Glut,1,Glut
WMB:CS20230722_SUPT_0532,0532 SI-MA-LPO-LHA Skor1 Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",8,True,Glut,2,Glut-GABA|Glut
WMB:CS20230722_SUPT_0530,0530 SI-MA-LPO-LHA Skor1 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",13,True,Glut,1,Glut
WMB:CS20230722_SUPT_0528,0528 ADP-MPO Trp73 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",8,True,Glut,1,Glut
WMB:CS20230722_SUPT_0529,0529 ADP-MPO Trp73 Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0527,0527 ADP-MPO Trp73 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",8,True,Glut,1,Glut
WMB:CS20230722_SUPT_0524,0524 LHA Barhl2 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",7,True,Glut,1,Glut
WMB:CS20230722_SUPT_0525,0525 LHA Barhl2 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0522,0522 AVPV-MEPO-SFO Tbr1 Glut_4,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0523,0523 AVPV-MEPO-SFO Tbr1 Glut_5,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0542,0542 LHA-MEA Otp Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0540,0540 MEA-BST Otp Zic2 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0539,0539 MEA-BST Otp Zic2 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0537,0537 SI-MA-LPO-LHA Skor1 Glut_8,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",5,True,Glut,1,Glut
WMB:CS20230722_SUPT_0538,0538 MEA Otp Foxp2 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",5,True,Glut,1,Glut
WMB:CS20230722_SUPT_0535,0535 SI-MA-LPO-LHA Skor1 Glut_6,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",13,True,Glut,1,Glut
WMB:CS20230722_SUPT_0536,0536 SI-MA-LPO-LHA Skor1 Glut_7,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",5,True,Glut,1,Glut
WMB:CS20230722_SUPT_0533,0533 SI-MA-LPO-LHA Skor1 Glut_4,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",7,True,Glut,1,Glut
WMB:CS20230722_SUPT_0534,0534 SI-MA-LPO-LHA Skor1 Glut_5,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",10,True,Glut,1,Glut
WMB:CS20230722_SUPT_0597,0597 PH-ant-LHA Otp Bsx Glut_7,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0598,0598 STN-PSTN Pitx2 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",7,True,Glut,1,Glut
WMB:CS20230722_SUPT_0595,0595 PH-ant-LHA Otp Bsx Glut_5,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",7,True,Glut,1,Glut
WMB:CS20230722_SUPT_0596,0596 PH-ant-LHA Otp Bsx Glut_6,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0593,0593 PH-ant-LHA Otp Bsx Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0594,0594 PH-ant-LHA Otp Bsx Glut_4,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0591,0591 PH-ant-LHA Otp Bsx Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",8,True,Glut,1,Glut
WMB:CS20230722_SUPT_0592,0592 PH-ant-LHA Otp Bsx Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0588,0588 PVH-SO-PVa Otp Glut_4,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0589,0589 PVH-SO-PVa Otp Glut_5,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0599,0599 STN-PSTN Pitx2 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,1,Glut
WMB:CS20230722_SUPT_0575,0575 LHA-AHN-PVH Otp Trh Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0576,0576 LHA-AHN-PVH Otp Trh Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0573,0573 LHA Pmch Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",2,True,Glut,1,Glut
WMB:CS20230722_SUPT_0574,0574 LHA-AHN-PVH Otp Trh Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",5,True,Glut,2,Glut-GABA|Glut
WMB:CS20230722_SUPT_0572,0572 LHA Pmch Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0570,0570 VMH Nr5a1 Glut_5,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",2,True,Glut,1,Glut
WMB:CS20230722_SUPT_0568,0568 VMH Nr5a1 Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0569,0569 VMH Nr5a1 Glut_4,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0566,0566 VMH Nr5a1 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",5,True,Glut,1,Glut
WMB:CS20230722_SUPT_0567,0567 VMH Nr5a1 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0586,0586 PVH-SO-PVa Otp Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",6,True,Glut,2,Glut-GABA|Glut
WMB:CS20230722_SUPT_0587,0587 PVH-SO-PVa Otp Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0584,0584 AHN-RCH-LHA Otp Fezf1 Glut_6,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
WMB:CS20230722_SUPT_0585,0585 PVH-SO-PVa Otp Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",5,True,Glut,1,Glut
WMB:CS20230722_SUPT_0582,0582 AHN-RCH-LHA Otp Fezf1 Glut_4,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0580,0580 AHN-RCH-LHA Otp Fezf1 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",7,True,Glut,1,Glut
WMB:CS20230722_SUPT_0581,0581 AHN-RCH-LHA Otp Fezf1 Glut_3,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",4,True,Glut,1,Glut
WMB:CS20230722_SUPT_0579,0579 AHN-RCH-LHA Otp Fezf1 Glut_1,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",5,True,Glut,1,Glut
WMB:CS20230722_SUPT_0577,0577 LHA-AHN-PVH Otp Trh Glut_4,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",2,True,Glut,1,Glut
WMB:CS20230722_SUPT_0510,0510 COAa-PAA-MEA Barhl2 Glut_2,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'supertype']",3,True,Glut,1,Glut
