cc_curie,cc_label,token_position,token_text,token_simplified_type,token_type,token_name,primary_identifier,secondary_identifier,tertiary_identifier,original_part
WMB:CS20230722_SUPT_0002,0002 CLA-EPd-CTX Car3 Glut_2,2,EPd,anatomical,structure,"Endopiriform nucleus, dorsal part",MBA:952,,,CLA-EPd-CTX
WMB:CS20230722_SUPT_0002,0002 CLA-EPd-CTX Car3 Glut_2,3,CTX,anatomical,structure,Cerebral cortex,MBA:688,UBERON:0000956,,CLA-EPd-CTX
WMB:CS20230722_SUPT_0002,0002 CLA-EPd-CTX Car3 Glut_2,4,Car3,gene,gene,carbonic anhydrase 3,ENSEMBL:ENSMUSG00000027559,NCBIGene:12350,ABAGene:12135,Car3
WMB:CS20230722_SUPT_0002,0002 CLA-EPd-CTX Car3 Glut_2,4,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0003,0003 CLA-EPd-CTX Car3 Glut_1,1,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,CLA-EPd-CTX
WMB:CS20230722_CLUS_0003,0003 CLA-EPd-CTX Car3 Glut_1,2,EPd,anatomical,structure,"Endopiriform nucleus, dorsal part",MBA:952,,,CLA-EPd-CTX
WMB:CS20230722_CLUS_0003,0003 CLA-EPd-CTX Car3 Glut_1,3,CTX,anatomical,structure,Cerebral cortex,MBA:688,UBERON:0000956,,CLA-EPd-CTX
WMB:CS20230722_CLUS_0003,0003 CLA-EPd-CTX Car3 Glut_1,4,Car3,gene,gene,carbonic anhydrase 3,ENSEMBL:ENSMUSG00000027559,NCBIGene:12350,ABAGene:12135,Car3
WMB:CS20230722_CLUS_0003,0003 CLA-EPd-CTX Car3 Glut_1,4,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,1,EP,anatomical,structure,Endopiriform nucleus,MBA:942,UBERON:0014284,,EP-CLA
WMB:CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,2,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,EP-CLA
WMB:CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,3,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0004,0004 CLA-EPd-CTX Car3 Glut_1,1,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,CLA-EPd-CTX
WMB:CS20230722_CLUS_0004,0004 CLA-EPd-CTX Car3 Glut_1,2,EPd,anatomical,structure,"Endopiriform nucleus, dorsal part",MBA:952,,,CLA-EPd-CTX
WMB:CS20230722_CLUS_0004,0004 CLA-EPd-CTX Car3 Glut_1,3,CTX,anatomical,structure,Cerebral cortex,MBA:688,UBERON:0000956,,CLA-EPd-CTX
WMB:CS20230722_CLUS_0004,0004 CLA-EPd-CTX Car3 Glut_1,4,Car3,gene,gene,carbonic anhydrase 3,ENSEMBL:ENSMUSG00000027559,NCBIGene:12350,ABAGene:12135,Car3
WMB:CS20230722_CLUS_0004,0004 CLA-EPd-CTX Car3 Glut_1,4,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,1,EP,anatomical,structure,Endopiriform nucleus,MBA:942,UBERON:0014284,,EP-CLA
WMB:CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,2,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,EP-CLA
WMB:CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,3,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0005,0005 CLA-EPd-CTX Car3 Glut_2,1,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,CLA-EPd-CTX
WMB:CS20230722_CLUS_0005,0005 CLA-EPd-CTX Car3 Glut_2,2,EPd,anatomical,structure,"Endopiriform nucleus, dorsal part",MBA:952,,,CLA-EPd-CTX
WMB:CS20230722_CLUS_0005,0005 CLA-EPd-CTX Car3 Glut_2,3,CTX,anatomical,structure,Cerebral cortex,MBA:688,UBERON:0000956,,CLA-EPd-CTX
WMB:CS20230722_CLUS_0005,0005 CLA-EPd-CTX Car3 Glut_2,4,Car3,gene,gene,carbonic anhydrase 3,ENSEMBL:ENSMUSG00000027559,NCBIGene:12350,ABAGene:12135,Car3
WMB:CS20230722_CLUS_0005,0005 CLA-EPd-CTX Car3 Glut_2,4,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_SUPT_0005,0005 IT EP-CLA Glut_3,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_SUPT_0005,0005 IT EP-CLA Glut_3,1,EP,anatomical,structure,Endopiriform nucleus,MBA:942,UBERON:0014284,,EP-CLA
WMB:CS20230722_SUPT_0005,0005 IT EP-CLA Glut_3,2,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,EP-CLA
WMB:CS20230722_SUPT_0005,0005 IT EP-CLA Glut_3,3,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0006,0006 IT EP-CLA Glut_1,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_CLUS_0006,0006 IT EP-CLA Glut_1,1,EP,anatomical,structure,Endopiriform nucleus,MBA:942,UBERON:0014284,,EP-CLA
WMB:CS20230722_CLUS_0006,0006 IT EP-CLA Glut_1,2,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,EP-CLA
WMB:CS20230722_CLUS_0006,0006 IT EP-CLA Glut_1,3,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_SUPT_0006,0006 IT EP-CLA Glut_4,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_SUPT_0006,0006 IT EP-CLA Glut_4,1,EP,anatomical,structure,Endopiriform nucleus,MBA:942,UBERON:0014284,,EP-CLA
WMB:CS20230722_SUPT_0006,0006 IT EP-CLA Glut_4,2,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,EP-CLA
WMB:CS20230722_SUPT_0006,0006 IT EP-CLA Glut_4,3,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0007,0007 IT EP-CLA Glut_1,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_CLUS_0007,0007 IT EP-CLA Glut_1,1,EP,anatomical,structure,Endopiriform nucleus,MBA:942,UBERON:0014284,,EP-CLA
WMB:CS20230722_CLUS_0007,0007 IT EP-CLA Glut_1,2,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,EP-CLA
WMB:CS20230722_CLUS_0007,0007 IT EP-CLA Glut_1,3,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_SUPT_0007,0007 L5/6 IT TPE-ENT Glut_1,1,L5/6,unknown,unknown,Unknown token: L5/6,,,,L5/6
WMB:CS20230722_SUPT_0007,0007 L5/6 IT TPE-ENT Glut_1,2,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_SUPT_0007,0007 L5/6 IT TPE-ENT Glut_1,2,TPE,unknown,unknown,Unknown token: TPE,,,,TPE-ENT
WMB:CS20230722_SUPT_0007,0007 L5/6 IT TPE-ENT Glut_1,3,ENT,anatomical,structure,Entorhinal area,MBA:909,UBERON:0002728,,TPE-ENT
WMB:CS20230722_SUPT_0007,0007 L5/6 IT TPE-ENT Glut_1,4,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0008,0008 IT EP-CLA Glut_1,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_CLUS_0008,0008 IT EP-CLA Glut_1,1,EP,anatomical,structure,Endopiriform nucleus,MBA:942,UBERON:0014284,,EP-CLA
WMB:CS20230722_CLUS_0008,0008 IT EP-CLA Glut_1,2,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,EP-CLA
WMB:CS20230722_CLUS_0008,0008 IT EP-CLA Glut_1,3,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_SUPT_0008,0008 L5/6 IT TPE-ENT Glut_2,1,L5/6,unknown,unknown,Unknown token: L5/6,,,,L5/6
WMB:CS20230722_SUPT_0008,0008 L5/6 IT TPE-ENT Glut_2,2,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_SUPT_0008,0008 L5/6 IT TPE-ENT Glut_2,2,TPE,unknown,unknown,Unknown token: TPE,,,,TPE-ENT
WMB:CS20230722_SUPT_0008,0008 L5/6 IT TPE-ENT Glut_2,3,ENT,anatomical,structure,Entorhinal area,MBA:909,UBERON:0002728,,TPE-ENT
WMB:CS20230722_SUPT_0008,0008 L5/6 IT TPE-ENT Glut_2,4,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0009,0009 IT EP-CLA Glut_1,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_CLUS_0009,0009 IT EP-CLA Glut_1,1,EP,anatomical,structure,Endopiriform nucleus,MBA:942,UBERON:0014284,,EP-CLA
WMB:CS20230722_CLUS_0009,0009 IT EP-CLA Glut_1,2,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,EP-CLA
WMB:CS20230722_CLUS_0009,0009 IT EP-CLA Glut_1,3,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_SUPT_0009,0009 L5/6 IT TPE-ENT Glut_3,1,L5/6,unknown,unknown,Unknown token: L5/6,,,,L5/6
WMB:CS20230722_SUPT_0009,0009 L5/6 IT TPE-ENT Glut_3,2,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_SUPT_0009,0009 L5/6 IT TPE-ENT Glut_3,2,TPE,unknown,unknown,Unknown token: TPE,,,,TPE-ENT
WMB:CS20230722_SUPT_0009,0009 L5/6 IT TPE-ENT Glut_3,3,ENT,anatomical,structure,Entorhinal area,MBA:909,UBERON:0002728,,TPE-ENT
WMB:CS20230722_SUPT_0009,0009 L5/6 IT TPE-ENT Glut_3,4,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_SUBC_001,001 CLA-EPd-CTX Car3 Glut,1,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,CLA-EPd-CTX
WMB:CS20230722_SUBC_001,001 CLA-EPd-CTX Car3 Glut,2,EPd,anatomical,structure,"Endopiriform nucleus, dorsal part",MBA:952,,,CLA-EPd-CTX
WMB:CS20230722_SUBC_001,001 CLA-EPd-CTX Car3 Glut,3,CTX,anatomical,structure,Cerebral cortex,MBA:688,UBERON:0000956,,CLA-EPd-CTX
WMB:CS20230722_SUBC_001,001 CLA-EPd-CTX Car3 Glut,4,Car3,gene,gene,carbonic anhydrase 3,ENSEMBL:ENSMUSG00000027559,NCBIGene:12350,ABAGene:12135,Car3
WMB:CS20230722_SUBC_001,001 CLA-EPd-CTX Car3 Glut,4,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0010,0010 IT EP-CLA Glut_1,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_CLUS_0010,0010 IT EP-CLA Glut_1,1,EP,anatomical,structure,Endopiriform nucleus,MBA:942,UBERON:0014284,,EP-CLA
WMB:CS20230722_CLUS_0010,0010 IT EP-CLA Glut_1,2,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,EP-CLA
WMB:CS20230722_CLUS_0010,0010 IT EP-CLA Glut_1,3,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_SUPT_0010,0010 L5/6 IT TPE-ENT Glut_4,1,L5/6,unknown,unknown,Unknown token: L5/6,,,,L5/6
WMB:CS20230722_SUPT_0010,0010 L5/6 IT TPE-ENT Glut_4,2,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_SUPT_0010,0010 L5/6 IT TPE-ENT Glut_4,2,TPE,unknown,unknown,Unknown token: TPE,,,,TPE-ENT
WMB:CS20230722_SUPT_0010,0010 L5/6 IT TPE-ENT Glut_4,3,ENT,anatomical,structure,Entorhinal area,MBA:909,UBERON:0002728,,TPE-ENT
WMB:CS20230722_SUPT_0010,0010 L5/6 IT TPE-ENT Glut_4,4,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0011,0011 IT EP-CLA Glut_1,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_CLUS_0011,0011 IT EP-CLA Glut_1,1,EP,anatomical,structure,Endopiriform nucleus,MBA:942,UBERON:0014284,,EP-CLA
WMB:CS20230722_CLUS_0011,0011 IT EP-CLA Glut_1,2,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,EP-CLA
WMB:CS20230722_CLUS_0011,0011 IT EP-CLA Glut_1,3,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_SUPT_0011,0011 L5/6 IT TPE-ENT Glut_5,1,L5/6,unknown,unknown,Unknown token: L5/6,,,,L5/6
WMB:CS20230722_SUPT_0011,0011 L5/6 IT TPE-ENT Glut_5,2,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_SUPT_0011,0011 L5/6 IT TPE-ENT Glut_5,2,TPE,unknown,unknown,Unknown token: TPE,,,,TPE-ENT
WMB:CS20230722_SUPT_0011,0011 L5/6 IT TPE-ENT Glut_5,3,ENT,anatomical,structure,Entorhinal area,MBA:909,UBERON:0002728,,TPE-ENT
WMB:CS20230722_SUPT_0011,0011 L5/6 IT TPE-ENT Glut_5,4,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0012,0012 IT EP-CLA Glut_1,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_CLUS_0012,0012 IT EP-CLA Glut_1,1,EP,anatomical,structure,Endopiriform nucleus,MBA:942,UBERON:0014284,,EP-CLA
WMB:CS20230722_CLUS_0012,0012 IT EP-CLA Glut_1,2,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,EP-CLA
WMB:CS20230722_CLUS_0012,0012 IT EP-CLA Glut_1,3,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_SUPT_0012,0012 L5/6 IT TPE-ENT Glut_6,1,L5/6,unknown,unknown,Unknown token: L5/6,,,,L5/6
WMB:CS20230722_SUPT_0012,0012 L5/6 IT TPE-ENT Glut_6,2,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_SUPT_0012,0012 L5/6 IT TPE-ENT Glut_6,2,TPE,unknown,unknown,Unknown token: TPE,,,,TPE-ENT
WMB:CS20230722_SUPT_0012,0012 L5/6 IT TPE-ENT Glut_6,3,ENT,anatomical,structure,Entorhinal area,MBA:909,UBERON:0002728,,TPE-ENT
WMB:CS20230722_SUPT_0012,0012 L5/6 IT TPE-ENT Glut_6,4,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0013,0013 IT EP-CLA Glut_2,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_CLUS_0013,0013 IT EP-CLA Glut_2,1,EP,anatomical,structure,Endopiriform nucleus,MBA:942,UBERON:0014284,,EP-CLA
WMB:CS20230722_CLUS_0013,0013 IT EP-CLA Glut_2,2,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,EP-CLA
WMB:CS20230722_CLUS_0013,0013 IT EP-CLA Glut_2,3,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_SUPT_0013,0013 L6 IT CTX Glut_1,1,L6,anatomical,anatomical,cortical layer 6,UBERON:0005395,,,L6
WMB:CS20230722_SUPT_0013,0013 L6 IT CTX Glut_1,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_SUPT_0013,0013 L6 IT CTX Glut_1,1,CTX,anatomical,structure,Cerebral cortex,MBA:688,UBERON:0000956,,CTX
WMB:CS20230722_SUPT_0013,0013 L6 IT CTX Glut_1,1,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0014,0014 IT EP-CLA Glut_2,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_CLUS_0014,0014 IT EP-CLA Glut_2,1,EP,anatomical,structure,Endopiriform nucleus,MBA:942,UBERON:0014284,,EP-CLA
WMB:CS20230722_CLUS_0014,0014 IT EP-CLA Glut_2,2,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,EP-CLA
WMB:CS20230722_CLUS_0014,0014 IT EP-CLA Glut_2,3,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_SUPT_0014,0014 L6 IT CTX Glut_2,1,L6,anatomical,anatomical,cortical layer 6,UBERON:0005395,,,L6
WMB:CS20230722_SUPT_0014,0014 L6 IT CTX Glut_2,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_SUPT_0014,0014 L6 IT CTX Glut_2,1,CTX,anatomical,structure,Cerebral cortex,MBA:688,UBERON:0000956,,CTX
WMB:CS20230722_SUPT_0014,0014 L6 IT CTX Glut_2,1,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0015,0015 IT EP-CLA Glut_2,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_CLUS_0015,0015 IT EP-CLA Glut_2,1,EP,anatomical,structure,Endopiriform nucleus,MBA:942,UBERON:0014284,,EP-CLA
WMB:CS20230722_CLUS_0015,0015 IT EP-CLA Glut_2,2,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,EP-CLA
WMB:CS20230722_CLUS_0015,0015 IT EP-CLA Glut_2,3,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_SUPT_0015,0015 L6 IT CTX Glut_3,1,L6,anatomical,anatomical,cortical layer 6,UBERON:0005395,,,L6
WMB:CS20230722_SUPT_0015,0015 L6 IT CTX Glut_3,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_SUPT_0015,0015 L6 IT CTX Glut_3,1,CTX,anatomical,structure,Cerebral cortex,MBA:688,UBERON:0000956,,CTX
WMB:CS20230722_SUPT_0015,0015 L6 IT CTX Glut_3,1,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0016,0016 IT EP-CLA Glut_2,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_CLUS_0016,0016 IT EP-CLA Glut_2,1,EP,anatomical,structure,Endopiriform nucleus,MBA:942,UBERON:0014284,,EP-CLA
WMB:CS20230722_CLUS_0016,0016 IT EP-CLA Glut_2,2,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,EP-CLA
WMB:CS20230722_CLUS_0016,0016 IT EP-CLA Glut_2,3,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_SUPT_0016,0016 L6 IT CTX Glut_4,1,L6,anatomical,anatomical,cortical layer 6,UBERON:0005395,,,L6
WMB:CS20230722_SUPT_0016,0016 L6 IT CTX Glut_4,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_SUPT_0016,0016 L6 IT CTX Glut_4,1,CTX,anatomical,structure,Cerebral cortex,MBA:688,UBERON:0000956,,CTX
WMB:CS20230722_SUPT_0016,0016 L6 IT CTX Glut_4,1,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0017,0017 IT EP-CLA Glut_2,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_CLUS_0017,0017 IT EP-CLA Glut_2,1,EP,anatomical,structure,Endopiriform nucleus,MBA:942,UBERON:0014284,,EP-CLA
WMB:CS20230722_CLUS_0017,0017 IT EP-CLA Glut_2,2,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,EP-CLA
WMB:CS20230722_CLUS_0017,0017 IT EP-CLA Glut_2,3,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_SUPT_0017,0017 L6 IT CTX Glut_5,1,L6,anatomical,anatomical,cortical layer 6,UBERON:0005395,,,L6
WMB:CS20230722_SUPT_0017,0017 L6 IT CTX Glut_5,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_SUPT_0017,0017 L6 IT CTX Glut_5,1,CTX,anatomical,structure,Cerebral cortex,MBA:688,UBERON:0000956,,CTX
WMB:CS20230722_SUPT_0017,0017 L6 IT CTX Glut_5,1,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0018,0018 IT EP-CLA Glut_3,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_CLUS_0018,0018 IT EP-CLA Glut_3,1,EP,anatomical,structure,Endopiriform nucleus,MBA:942,UBERON:0014284,,EP-CLA
WMB:CS20230722_CLUS_0018,0018 IT EP-CLA Glut_3,2,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,EP-CLA
WMB:CS20230722_CLUS_0018,0018 IT EP-CLA Glut_3,3,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_SUPT_0018,0018 L5 IT CTX Glut_1,1,L5,anatomical,anatomical,cortical layer 5,UBERON:0005394,,,L5
WMB:CS20230722_SUPT_0018,0018 L5 IT CTX Glut_1,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_SUPT_0018,0018 L5 IT CTX Glut_1,1,CTX,anatomical,structure,Cerebral cortex,MBA:688,UBERON:0000956,,CTX
WMB:CS20230722_SUPT_0018,0018 L5 IT CTX Glut_1,1,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
WMB:CS20230722_CLUS_0019,0019 IT EP-CLA Glut_3,1,IT,cell type,projection_type,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,,,IT
WMB:CS20230722_CLUS_0019,0019 IT EP-CLA Glut_3,1,EP,anatomical,structure,Endopiriform nucleus,MBA:942,UBERON:0014284,,EP-CLA
WMB:CS20230722_CLUS_0019,0019 IT EP-CLA Glut_3,2,CLA,anatomical,structure,Claustrum,MBA:583,UBERON:0002023,,EP-CLA
WMB:CS20230722_CLUS_0019,0019 IT EP-CLA Glut_3,3,Glut,cell type,neurotransmission,glutamatergic neuron,CL:0000679,,,Glut
