class_curie,class_label,cluster_curie,cluster_label,labelset,cell_curie,cell_label,mapping_curie,mapping_label,mapping_type
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_016,016 CA1-ProS Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110076,CA1-ProS Glut hippocampal CA1-3 neuron (Mmus),MBA:484682470,Prosubiculum,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_017,017 CA3 Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110077,CA3 Glut hippocampal CA1-3 neuron (Mmus),MBA:463,Field CA3,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_018,018 L2 IT PPP-APr Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110078,L2 IT PPP-APr Glut L2 intratelencephalic projecting glutamatergic neuron (Mmus),MBA:484682508,Area prostriata,anatomical
WMB:CS20230722_CLAS_02,02 NP-CT-L6b Glut,WMB:CS20230722_SUBC_031,031 CT SUB Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110091,CT SUB Glut neuron (Mmus),MBA:502,Subiculum,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_023,023 SUB-ProS Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110083,SUB-ProS Glut neuron (Mmus),MBA:502,Subiculum,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_025,025 CA2-FC-IG Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110085,CA2-FC-IG Glut hippocampal CA1-3 neuron (Mmus),MBA:423,Field CA2,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_025,025 CA2-FC-IG Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110085,CA2-FC-IG Glut hippocampal CA1-3 neuron (Mmus),MBA:982,Fasciola cinerea,anatomical
WMB:CS20230722_CLAS_01,01 IT-ET Glut,WMB:CS20230722_SUBC_025,025 CA2-FC-IG Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110085,CA2-FC-IG Glut hippocampal CA1-3 neuron (Mmus),MBA:19,Induseum griseum,anatomical
WMB:CS20230722_CLAS_02,02 NP-CT-L6b Glut,WMB:CS20230722_CLAS_02,02 NP-CT-L6b Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'class']",PCL:0110002,NP-CT-L6b Glut neuron (Mmus),UBERON:8440003,cortical layer VIb,anatomical
WMB:CS20230722_CLAS_05,05 OB-IMN GABA,WMB:CS20230722_CLAS_05,05 OB-IMN GABA,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'class']",PCL:0110005,OB-IMN GABA neuron (Mmus),UBERON:0002264,olfactory bulb,anatomical
WMB:CS20230722_CLAS_03,03 OB-CR Glut,WMB:CS20230722_CLAS_03,03 OB-CR Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'class']",PCL:0110003,OB-CR Glut neuron (Mmus),UBERON:0002264,olfactory bulb,anatomical
WMB:CS20230722_CLAS_04,04 DG-IMN Glut,WMB:CS20230722_CLAS_04,04 DG-IMN Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'class']",PCL:0110004,DG-IMN Glut neuron (Mmus),MBA:726,Dentate gyrus,anatomical
WMB:CS20230722_CLAS_05,05 OB-IMN GABA,WMB:CS20230722_SUBC_045,045 OB-STR-CTX Inh IMN,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110105,OB-STR-CTX Inh IMN neuron (Mmus),MBA:477,Striatum,anatomical
WMB:CS20230722_CLAS_08,08 CNU-MGE GABA,WMB:CS20230722_SUBC_054,054 STR Prox1 Lhx6 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110114,STR Prox1 Lhx6 Gaba medial ganglionic eminence derived interneuron (Mmus),MBA:477,Striatum,anatomical
WMB:CS20230722_CLAS_09,09 CNU-LGE GABA,WMB:CS20230722_SUBC_064,064 STR-PAL Chst9 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110124,STR-PAL Chst9 Gaba lateral ganglionic eminence derived neuron (Mmus),MBA:477,Striatum,anatomical
WMB:CS20230722_CLAS_06,06 CTX-CGE GABA,WMB:CS20230722_SUBC_048,048 RHP-COA Ndnf Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110108,RHP-COA Ndnf Gaba caudal ganglionic eminence derived cortical interneuron (Mmus),MBA:822,Retrohippocampal region,anatomical
WMB:CS20230722_CLAS_13,13 CNU-HYa Glut,WMB:CS20230722_SUBC_113,113 MEA-COA-BMA Ccdc42 Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110173,MEA-COA-BMA Ccdc42 Glut neuron (Mmus),MBA:631,Cortical amygdalar area,anatomical
WMB:CS20230722_CLAS_06,06 CTX-CGE GABA,WMB:CS20230722_SUBC_048,048 RHP-COA Ndnf Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110108,RHP-COA Ndnf Gaba caudal ganglionic eminence derived cortical interneuron (Mmus),MBA:631,Cortical amygdalar area,anatomical
WMB:CS20230722_CLAS_11,11 CNU-HYa GABA,WMB:CS20230722_SUBC_066,066 NDB-SI-ant Prdm12 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110126,NDB-SI-ant Prdm12 Gaba neuron (Mmus),MBA:596,Diagonal band nucleus,anatomical
WMB:CS20230722_CLAS_08,08 CNU-MGE GABA,WMB:CS20230722_SUBC_057,057 NDB-SI-MA-STRv Lhx8 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110117,NDB-SI-MA-STRv Lhx8 Gaba medial ganglionic eminence derived interneuron (Mmus),MBA:596,Diagonal band nucleus,anatomical
WMB:CS20230722_CLAS_13,13 CNU-HYa Glut,WMB:CS20230722_SUBC_119,119 SI-MA-LPO-LHA Skor1 Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110179,SI-MA-LPO-LHA Skor1 Glut neuron (Mmus),MBA:342,Substantia innominata,anatomical
WMB:CS20230722_CLAS_11,11 CNU-HYa GABA,WMB:CS20230722_SUBC_084,084 BST-SI-AAA Six3 Slc22a3 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110144,BST-SI-AAA Six3 Slc22a3 Gaba neuron (Mmus),MBA:342,Substantia innominata,anatomical
WMB:CS20230722_CLAS_08,08 CNU-MGE GABA,WMB:CS20230722_SUBC_057,057 NDB-SI-MA-STRv Lhx8 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110117,NDB-SI-MA-STRv Lhx8 Gaba medial ganglionic eminence derived interneuron (Mmus),MBA:342,Substantia innominata,anatomical
WMB:CS20230722_CLAS_09,09 CNU-LGE GABA,WMB:CS20230722_SUBC_059,059 GPe-SI Sox6 Cyp26b1 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110119,GPe-SI Sox6 Cyp26b1 Gaba lateral ganglionic eminence derived neuron (Mmus),MBA:342,Substantia innominata,anatomical
WMB:CS20230722_CLAS_13,13 CNU-HYa Glut,WMB:CS20230722_SUBC_119,119 SI-MA-LPO-LHA Skor1 Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110179,SI-MA-LPO-LHA Skor1 Glut neuron (Mmus),MBA:298,Magnocellular nucleus,anatomical
WMB:CS20230722_CLAS_11,11 CNU-HYa GABA,WMB:CS20230722_SUBC_078,078 SI-MA-ACB Ebf1 Bnc2 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110138,SI-MA-ACB Ebf1 Bnc2 Gaba neuron (Mmus),MBA:298,Magnocellular nucleus,anatomical
WMB:CS20230722_CLAS_08,08 CNU-MGE GABA,WMB:CS20230722_SUBC_057,057 NDB-SI-MA-STRv Lhx8 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110117,NDB-SI-MA-STRv Lhx8 Gaba medial ganglionic eminence derived interneuron (Mmus),MBA:298,Magnocellular nucleus,anatomical
WMB:CS20230722_CLAS_08,08 CNU-MGE GABA,WMB:CS20230722_SUBC_057,057 NDB-SI-MA-STRv Lhx8 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110117,NDB-SI-MA-STRv Lhx8 Gaba medial ganglionic eminence derived interneuron (Mmus),MBA:493,Striatum ventral region,anatomical
WMB:CS20230722_CLAS_09,09 CNU-LGE GABA,WMB:CS20230722_SUBC_059,059 GPe-SI Sox6 Cyp26b1 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110119,GPe-SI Sox6 Cyp26b1 Gaba lateral ganglionic eminence derived neuron (Mmus),MBA:1022,"Globus pallidus, external segment",anatomical
WMB:CS20230722_CLAS_08,08 CNU-MGE GABA,WMB:CS20230722_SUBC_058,058 PAL-STR Gaba-Chol,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110118,PAL-STR Gaba-Chol medial ganglionic eminence derived interneuron (Mmus),MBA:803,Pallidum,anatomical
WMB:CS20230722_CLAS_09,09 CNU-LGE GABA,WMB:CS20230722_SUBC_064,064 STR-PAL Chst9 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110124,STR-PAL Chst9 Gaba lateral ganglionic eminence derived neuron (Mmus),MBA:803,Pallidum,anatomical
WMB:CS20230722_CLAS_09,09 CNU-LGE GABA,WMB:CS20230722_SUBC_060,060 OT D3 Folh1 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110120,OT D3 Folh1 Gaba lateral ganglionic eminence derived neuron (Mmus),MBA:754,Olfactory tubercle,anatomical
WMB:CS20230722_CLAS_09,09 CNU-LGE GABA,WMB:CS20230722_SUBC_065,065 IA Mgp Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110125,IA Mgp Gaba lateral ganglionic eminence derived neuron (Mmus),MBA:1105,Intercalated amygdalar nucleus,anatomical
WMB:CS20230722_CLAS_10,10 LSX GABA,WMB:CS20230722_CLAS_10,10 LSX GABA,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'class']",PCL:0110010,LSX GABA neuron (Mmus),MBA:275,Lateral septal complex,anatomical
WMB:CS20230722_CLAS_13,13 CNU-HYa Glut,WMB:CS20230722_SUBC_121,121 MEA-BST Otp Zic2 Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110181,MEA-BST Otp Zic2 Glut neuron (Mmus),MBA:351,Bed nuclei of the stria terminalis,anatomical
WMB:CS20230722_CLAS_11,11 CNU-HYa GABA,WMB:CS20230722_SUBC_084,084 BST-SI-AAA Six3 Slc22a3 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110144,BST-SI-AAA Six3 Slc22a3 Gaba neuron (Mmus),MBA:351,Bed nuclei of the stria terminalis,anatomical
WMB:CS20230722_CLAS_11,11 CNU-HYa GABA,WMB:CS20230722_SUBC_081,081 ACB-BST-FS D1 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110141,ACB-BST-FS D1 Gaba neuron (Mmus),MBA:56,Nucleus accumbens,anatomical
WMB:CS20230722_CLAS_11,11 CNU-HYa GABA,WMB:CS20230722_SUBC_084,084 BST-SI-AAA Six3 Slc22a3 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110144,BST-SI-AAA Six3 Slc22a3 Gaba neuron (Mmus),MBA:23,Anterior amygdalar area,anatomical
WMB:CS20230722_CLAS_11,11 CNU-HYa GABA,WMB:CS20230722_SUBC_081,081 ACB-BST-FS D1 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110141,ACB-BST-FS D1 Gaba neuron (Mmus),MBA:998,Fundus of striatum,anatomical
WMB:CS20230722_CLAS_13,13 CNU-HYa Glut,WMB:CS20230722_SUBC_118,118 ADP-MPO Trp73 Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110178,ADP-MPO Trp73 Glut neuron (Mmus),MBA:523,Medial preoptic area,anatomical
WMB:CS20230722_CLAS_14,14 HY Glut,WMB:CS20230722_SUBC_124,124 MPN-MPO-PVpo Hmx2 Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110184,MPN-MPO-PVpo Hmx2 Glut neuron (Mmus),MBA:523,Medial preoptic area,anatomical
WMB:CS20230722_CLAS_11,11 CNU-HYa GABA,WMB:CS20230722_SUBC_085,085 SI-MPO-LPO Lhx8 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110145,SI-MPO-LPO Lhx8 Gaba neuron (Mmus),MBA:523,Medial preoptic area,anatomical
WMB:CS20230722_CLAS_13,13 CNU-HYa Glut,WMB:CS20230722_SUBC_119,119 SI-MA-LPO-LHA Skor1 Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110179,SI-MA-LPO-LHA Skor1 Glut neuron (Mmus),MBA:226,Lateral preoptic area,anatomical
WMB:CS20230722_CLAS_11,11 CNU-HYa GABA,WMB:CS20230722_SUBC_085,085 SI-MPO-LPO Lhx8 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110145,SI-MPO-LPO Lhx8 Gaba neuron (Mmus),MBA:226,Lateral preoptic area,anatomical
WMB:CS20230722_CLAS_13,13 CNU-HYa Glut,WMB:CS20230722_SUBC_118,118 ADP-MPO Trp73 Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110178,ADP-MPO Trp73 Glut neuron (Mmus),MBA:72,Anterodorsal preoptic nucleus,anatomical
WMB:CS20230722_CLAS_11,11 CNU-HYa GABA,WMB:CS20230722_SUBC_086,086 MPO-ADP Lhx8 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110146,MPO-ADP Lhx8 Gaba neuron (Mmus),MBA:72,Anterodorsal preoptic nucleus,anatomical
WMB:CS20230722_CLAS_14,14 HY Glut,WMB:CS20230722_SUBC_124,124 MPN-MPO-PVpo Hmx2 Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110184,MPN-MPO-PVpo Hmx2 Glut neuron (Mmus),MBA:515,Medial preoptic nucleus,anatomical
WMB:CS20230722_CLAS_11,11 CNU-HYa GABA,WMB:CS20230722_SUBC_090,090 BST-MPN Six3 Nrgn Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110150,BST-MPN Six3 Nrgn Gaba neuron (Mmus),MBA:515,Medial preoptic nucleus,anatomical
WMB:CS20230722_CLAS_12,12 HY GABA,WMB:CS20230722_SUBC_106,106 PVpo-VMPO-MPN Hmx2 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110166,PVpo-VMPO-MPN Hmx2 Gaba neuron (Mmus),MBA:515,Medial preoptic nucleus,anatomical
WMB:CS20230722_CLAS_11,11 CNU-HYa GABA,WMB:CS20230722_SUBC_089,089 PVR Six3 Sox3 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110149,PVR Six3 Sox3 Gaba neuron (Mmus),MBA:141,Periventricular region,anatomical
WMB:CS20230722_CLAS_14,14 HY Glut,WMB:CS20230722_SUBC_126,126 ARH-PVp Tbx3 Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110186,ARH-PVp Tbx3 Glut neuron (Mmus),MBA:223,Arcuate hypothalamic nucleus,anatomical
WMB:CS20230722_CLAS_12,12 HY GABA,WMB:CS20230722_SUBC_104,104 TU-ARH Otp Six6 Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110164,TU-ARH Otp Six6 Gaba neuron (Mmus),MBA:223,Arcuate hypothalamic nucleus,anatomical
WMB:CS20230722_CLAS_12,12 HY GABA,WMB:CS20230722_SUBC_091,091 ARH-PVi Six6 Dopa-Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110151,ARH-PVi Six6 Dopa-Gaba neuron (Mmus),MBA:118,"Periventricular hypothalamic nucleus, intermediate part",anatomical
WMB:CS20230722_CLAS_14,14 HY Glut,WMB:CS20230722_SUBC_136,136 PMv-TMv Pitx2 Glut,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110196,PMv-TMv Pitx2 Glut neuron (Mmus),MBA:1,"Tuberomammillary nucleus, ventral part",anatomical
WMB:CS20230722_CLAS_12,12 HY GABA,WMB:CS20230722_SUBC_092,092 TMv-PMv Tbx3 Hist-Gaba,"['Entity', 'Cell_cluster', 'Individual', 'WMB', 'subclass']",PCL:0110152,TMv-PMv Tbx3 Hist-Gaba neuron (Mmus),MBA:1,"Tuberomammillary nucleus, ventral part",anatomical
