class,AAA,ACAd,ACAv,ACB,ACVII,AD,ADP,AHN,AId,AIp,AIv,AM,AMB,AN,AOB,AON,AP,APN,APr,AQ,ARH,ASO,AT,AUDd,AUDp,AUDpo,AUDv,AV,AVP,AVPV,Acs5,B,BA,BAC,BLA,BMA,BST,CA1,CA2,CA3,CB-unassigned,CEA,CENT,CL,CLA,CLI,CM,COAa,COAp,COPY,CP,CS,CTXsp-unassigned,CU,CUL,CUN,DCO,DEC,DG,DMH,DMX,DN,DP,DR,DT,DTN,ECT,ECU,ENTl,ENTm,EPd,EPv,EW,Eth,FC,FL,FN,FOTU,FRP,FS,GPe,GPi,GR,GRN,GU,HATA,HPF-unassigned,HY-unassigned,I5,IA,IAD,IAM,IC,ICB,IF,IG,IGL,III,IIIn,IIn,ILA,IMD,IO,IP,IPN,IRN,ISN,IV,IVn,In,IntG,LA,LAV,LC,LD,LDT,LGd,LGv,LH,LHA,LIN,LING,LM,LP,LPO,LRN,LSc,LSr,LSv,LT,MA,MA3,MARN,MB-unassigned,MD,MDRN,ME,MEA,MEPO,MG,MH,MM,MOB,MOp,MOs,MPN,MPO,MPT,MRN,MS,MT,MV,MY-unassigned,NB,NDB,NI,NLL,NLOT,NOD,NOT,NPC,NR,NTB,NTS,OLF-unassigned,OP,ORBl,ORBm,ORBvl,OT,OV,P-unassigned,P5,PA,PAA,PAG,PAL-unassigned,PAR,PARN,PAS,PB,PBG,PC5,PCG,PCN,PD,PDTg,PERI,PF,PFL,PG,PGRNd,PGRNl,PH,PIL,PIR,PL,PMd,PMv,PN,PO,POL,POST,PP,PPN,PPT,PPY,PR,PRE,PRM,PRNc,PRNr,PRP,PS,PST,PSTN,PSV,PT,PVH,PVHd,PVT,PVa,PVi,PVp,PVpo,PYR,Pa4,Pa5,PeF,PoT,ProS,RCH,RE,RH,RL,RM,RN,RO,RPA,RPF,RPO,RR,RSPagl,RSPd,RSPv,RT,SAG,SBPV,SCH,SCO,SCm,SCs,SEZ,SF,SFO,SG,SGN,SH,SI,SIM,SLC,SLD,SMT,SNc,SNr,SO,SOC,SPA,SPFm,SPFp,SPIV,SPVC,SPVI,SPVO,SSp-bfd,SSp-ll,SSp-m,SSp-n,SSp-tr,SSp-ul,SSp-un,SSs,STN,STR-unassigned,SUB,SUM,SUT,SUV,SubG,TEa,TH-unassigned,TMd,TMv,TR,TRN,TRS,TT,TU,UVU,V,V3-unassigned,V4-unassigned,V4r,VAL,VCO,VI,VII,VIIIn,VIIn,VISC,VISa,VISal,VISam,VISl,VISli,VISp,VISpl,VISpm,VISpor,VISrl,VL-unassigned,VLPO,VM,VMH,VMPO,VPL,VPLpc,VPM,VPMpc,VTA,VTN,VeCB,Vn,XII,Xi,Xn,ZI,arb,brain-unassigned,cbc,cbp,cc,chpl,cst,drt,epsc,fiber tracts-unassigned,lfbst,mfbc,mfsbshy,rust,scwm-unassigned,tsp,von,x,y
11 CNU-HYa GABA,651,0,0,423,0,0,304,332,0,8,5,0,0,2,4,361,0,0,0,8,2,0,0,0,0,0,0,0,159,306,0,0,17,0,27,226,3480,5,1,6,2,3357,3,0,0,0,0,202,30,0,435,1,25,0,0,0,0,0,0,4,0,1,4,0,0,0,0,0,5,1,17,42,0,0,0,4,0,0,0,367,95,1,0,0,0,2,3,1564,0,16,0,0,0,0,0,0,0,0,0,176,0,0,0,1,0,0,0,0,0,130,0,17,0,0,0,0,0,2,0,296,0,0,0,0,794,0,1,209,189,0,133,0,0,1,0,0,0,2163,127,0,2,0,102,1,2,1067,1132,0,2,206,0,0,2,0,256,0,0,231,1,0,0,0,0,0,441,0,0,1,4,102,25,2,0,25,24,6,391,0,0,0,1,0,0,0,0,35,0,2,0,7,0,0,0,0,0,374,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,323,0,0,0,1,60,5,2,19,7,1,233,0,0,0,3,0,0,40,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,151,27,2,0,0,4,27,13,0,0,0,1077,2,0,0,0,0,0,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2446,0,0,0,0,0,1,15,0,0,1,0,18,100,11,0,0,140,11,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,75,31,1,4,29,1,0,0,0,0,0,0,0,0,0,0,6,0,65,0,2,14,17,87,0,1,191,1,283,74,0,0,0,0,0,0
12 HY GABA,4,0,0,2,0,1,1,1808,0,0,1,70,0,1,4,2,0,0,0,8,1447,33,0,0,0,0,0,13,13,66,0,0,0,0,1,1,148,0,0,20,0,2,1,0,0,0,1,0,0,0,15,2,1,1,1,0,0,0,0,875,0,3,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,4,59,0,0,0,0,0,3105,0,0,0,0,3,0,0,0,63,0,0,430,0,0,1,1,0,0,0,0,0,4,12,0,0,0,44,2,11,539,2,909,0,0,24,3,68,3,0,2,8,14,3,0,1,410,7,0,116,4,2,0,1,1,89,0,0,1090,298,0,4,5,0,1,7,0,5,0,1,0,0,0,0,0,0,2,4,0,2,1,2,5,0,2,0,0,0,8,175,0,4,0,2,0,0,3,2,18,0,0,1,1,0,0,1,287,1,1,0,3,110,0,2,0,0,3,0,0,0,220,0,0,2,2,1,2,6,41,0,11,169,262,2,332,245,95,708,0,0,0,424,2,0,192,79,1,0,0,1,0,0,0,0,0,0,1,0,4168,0,532,1579,0,3,0,3,4,0,0,0,0,24,0,0,1,8,23,48,6,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,34,18,0,8,1,0,85,0,207,44,117,0,0,3,0,1018,1,0,182,6,0,26,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,18,25,229,658,142,153,0,9,1,0,0,0,0,1,8,0,2433,1,69,0,0,2,6,357,2,73,517,264,203,93,0,0,0,0,0,0
13 CNU-HYa Glut,349,4,9,60,0,0,95,92,7,21,22,53,0,4,28,38,5,0,1,1,23,0,0,1,4,1,3,1,48,626,0,0,45,13,136,1318,814,6,0,8,3,130,1,2,4,0,1,972,11,1,23,0,62,0,1,0,3,1,15,3,0,0,7,0,0,1,5,0,91,11,90,237,0,0,0,5,0,1,3,49,42,59,0,2,4,6,1,843,1,241,0,0,11,0,1,0,2,0,0,99,6,0,2,1,3,1,0,0,0,52,0,9,0,0,3,1,1,15,1,1045,0,0,1,2,429,1,83,338,279,0,225,0,0,15,2,0,10,3031,152,0,1,1,87,13,20,255,345,0,3,299,0,5,11,0,246,1,2,669,2,1,1,0,0,3,268,0,6,4,2,120,48,12,1,8,119,9,272,0,2,0,2,0,0,1,0,2,0,1,0,3,15,0,2,3,0,911,2,0,2,0,0,1,1,1,1,0,0,3,1,1,3,2,0,52,0,0,2,63,52,13,15,1,3,5,215,0,0,0,42,0,2,0,32,0,0,1,0,0,0,1,0,2,9,7,6,15,0,3,2,2,7,16,0,1168,39,0,0,0,760,2,0,0,1,0,1,20,1,0,0,0,0,0,0,1,10,4,8,7,3,8,1,8,0,557,9,0,1,0,0,4,182,0,1,16,6,2858,20,4,3,0,466,11,6,0,5,0,1,5,1,0,1,2,2,2,2,7,4,1,4,4,50,44,0,9,17,0,0,0,0,0,0,2,2,0,0,0,112,1,224,0,7,25,55,17,2,12,176,1,1233,55,0,2,2,0,0,0
14 HY Glut,0,1,0,2,0,0,2,1864,0,0,0,0,0,0,2,4,0,1,0,0,653,3,0,0,0,0,0,0,0,64,0,0,0,0,0,0,124,0,0,0,0,1,2,0,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0,1386,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,4301,0,0,0,0,5,0,1,0,0,0,1,538,0,0,2,0,0,2,0,0,0,4,0,0,0,0,0,1,0,1,1,2394,0,0,173,0,122,0,0,4,5,0,1,1,0,527,0,0,44,32,3,0,0,36,33,0,0,815,173,0,10,0,1,1,2,1,4,1,0,0,0,0,3,0,0,3,1,0,0,0,0,1,0,6,0,0,0,24,147,0,1,0,3,0,0,2,0,10,0,0,0,0,1,0,0,1466,0,0,0,163,545,0,0,1,0,20,0,1,0,23,0,0,1,2,0,0,22,606,0,1,1104,202,0,236,297,59,415,0,0,0,271,0,0,311,49,0,1,0,0,1,0,0,0,0,0,0,0,2,0,355,57,0,4,0,0,3,0,0,0,0,14,0,0,0,8,13,6,157,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,638,4,0,508,1,0,1,0,81,9,54,0,1,4,0,677,0,0,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,3414,72,0,0,0,3,20,0,0,0,0,1,0,219,1,56,0,0,0,4,138,1,102,741,0,190,179,0,0,0,0,0,0
15 HY Gnrh1 Glut,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0
16 HY MM Glut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,47,0,0,0,515,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,345,0,0,0,0,0,152,0,0,0,0,0,3,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,3,72,0,0,0,0,0,0
17 MH-LH Glut,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,83,0,0,0,0,0,4291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,82,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,717,0,0,0,0,0,0,381,0,0,0,0,0,0
18 TH Glut,0,0,0,0,0,792,0,0,0,0,0,663,0,0,1,2,0,43,0,0,1,0,0,0,0,0,0,1085,0,0,0,0,0,0,0,0,1,0,0,65,0,0,0,439,0,0,453,0,0,0,0,0,0,0,0,0,0,0,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,12,82,0,0,222,61,8,0,0,0,60,0,0,148,0,192,0,0,0,1,0,0,0,0,10,0,0,0,2195,0,1924,51,67,0,0,0,0,1401,0,0,0,0,0,0,0,0,0,237,1838,0,0,0,0,1626,6,0,3,0,0,0,0,0,147,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,334,0,0,0,1621,0,0,0,0,1,188,0,0,0,0,0,1510,65,0,33,0,0,0,121,0,0,0,0,0,0,0,0,0,656,144,9,2219,0,2,0,0,0,0,0,0,200,0,0,881,92,0,0,0,0,0,4,0,0,0,0,0,112,0,0,0,0,3,2,0,0,0,0,235,0,0,0,0,0,420,0,0,0,0,94,13,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,0,0,0,0,0,0,1,0,0,195,0,0,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,870,1,0,1301,154,4400,380,0,0,0,0,0,173,0,168,0,294,0,0,0,2,5,65,0,217,245,142,257,0,0,0,0,0,0
19 MB Glut,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2153,0,153,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18,0,0,3,141,1,753,3,0,31,4,1,0,1,0,5,0,0,172,642,0,0,28,7,0,0,0,75,4,17,0,0,0,0,0,0,46,5,0,0,1,0,0,1,0,1,0,2,0,0,3,109,0,0,1,0,25585,1,61,0,8,36,67,112,0,6,0,1,18,0,0,9,7,0,1,0,2,2,0,108,1,15,59,5,0,0,4,26,1,0,0,0,0,2,0,33,0,6694,3,0,0,3,0,4,16,1,19,0,0,0,0,96,2778,3,5,2,6,149,1,1,2,0,0,123,259,0,0,1,2,80,0,0,0,1,0,62,1,0,0,9505,3,0,1,0,99,115,0,126,0,0,1,0,39,0,7,0,0,127,182,2,0,0,0,1,0,149,16,100,385,155,0,18,4,0,1,45,0,0,0,0,0,33,54,25,147,0,1,0,0,0,11,0,0,74,0,0,105,0,163,2,218,0,0,9,0,38,0,0,61,1,128,0,0,3,10118,4591,0,1,0,0,30,0,2,17,0,8,7,17,248,0,0,149,205,192,0,1,0,1,0,0,0,0,0,0,0,0,0,4,3,30,2,0,0,0,320,0,0,0,6,3,0,0,0,2,31,7,0,0,0,0,1,296,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,1,0,0,0,0,69,98,1,1,0,0,25,0,63,2,243,0,101,0,1,73,77,0,13,2,12,165,77,0,67,0,0,0
20 MB GABA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,71,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,42,37,0,167,5,0,9,0,0,0,0,1,45,0,0,9,512,0,0,45,0,0,1,0,95,7,80,0,0,2,1,0,0,6,10,0,0,0,0,0,0,1,1,0,6,0,0,2,15,0,0,0,0,2401,0,31,0,91,8,36,86,0,0,7,3,850,0,0,7,7,0,3,0,1,0,4,93,125,255,10,2,0,6,0,44,0,0,0,0,0,40,0,10,0,2997,0,0,0,1,0,10,1,3,1,0,0,0,1,90,2195,0,27,13,11,50,0,29,29,0,1,255,341,0,3,0,1,71,0,0,0,0,0,121,0,0,0,3430,1,0,0,0,111,17,0,106,0,0,22,0,2,0,10,1,1,19,12,0,0,1,0,20,1,19,21,50,508,149,3,13,0,0,35,170,1,0,0,0,0,0,3,4,0,0,0,0,0,0,18,0,0,5,0,0,8,0,3,0,224,0,0,53,8,143,0,0,61,7,84,0,0,1,8181,9936,0,0,0,0,0,0,1,6,0,5,2,116,953,0,27,1,38,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2,6,1,0,9,0,1,85,0,0,0,0,0,0,0,1,0,11,30,0,0,0,0,2,213,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,4,1,23,8,96,3,0,0,0,0,0,19,5,313,0,127,0,0,196,74,0,94,12,39,16,77,0,40,0,0,0
21 MB Dopa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,91,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,180,0,0,1,5,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,152,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,18,0,0,0,0,11,0,0,0,0,0,0,28,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,7,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,0,0,0,0,0,2,0,3,0,45,0,0,15,64,0,0,0,0,27,125,0,7,0,0,0
22 MB-HB Sero,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,518,0,0,0,0,0,0,0,0,0,0,0,419,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,12,0,68,7,0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,22,109,0,1,0,0,0,0,0,0,0,0,0,1,0,0,51,0,0,0,218,0,0,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,1,0,0,260,0,0,0,0,2,0,0,166,0,0,1,0,0,0,7,0,40,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,33,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,141,2,60,93,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,20,0,0,0,0,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,38,1,0,20,137,0,0,0,0,0,4,0,34,0,0,0
23 P Glut,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,2,0,1,0,13,0,0,4,0,0,0,0,0,0,1,2,17,0,0,0,0,2,0,0,0,174,0,118,0,0,3,0,0,0,0,4,208,0,6,79,141,14,0,0,0,1,1,0,3,0,164,0,29,0,0,1,0,0,0,0,11,5,0,0,0,1,0,0,150,0,0,0,1,11,0,0,0,3,1,14,0,0,0,39,0,0,0,29,7,225,130,3,2,8,0,0,0,33,18,0,387,0,0,0,1,3,0,0,0,0,168,0,0,0,0,1,0,9,231,0,4,0,1,1,0,0,1,3,0,0,0,0,0,270,0,0,313,473,0,0,155,241,0,140,0,0,2,5,41,0,0,0,0,0,0,0,2961,35,0,0,652,1,0,158,0,2271,0,79,855,0,0,102,0,0,0,5739,23,192,0,0,0,0,0,1,16,0,0,0,0,466,0,6,1,0,0,498,659,64,0,0,0,2485,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,5,0,0,1,0,26,5,0,0,0,0,2,1,0,0,5,1,0,0,0,38,0,0,1,0,24,41,0,0,0,0,302,1,0,0,239,0,66,64,0,0,1,0,0,0,0,0,0,1,0,0,115,11,0,0,1,0,0,0,1942,1,0,0,80,59,0,111,59,0,55,36,34,245,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,319,6,0,0,0,194,230,0,786,0,35,142,416,1,0,0,0,1,99,0,86,0,9,2
24 MY Glut,0,0,0,6,2,0,0,0,0,0,0,0,7,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,5,48,0,0,0,0,0,0,0,0,146,0,6,0,0,5,0,2,0,24,33,29,0,185,1,0,148,0,0,0,318,58,0,4,0,1,0,92,0,0,0,0,0,0,0,511,132,0,0,1,0,0,63,473,0,0,0,0,4,0,0,0,2,4,1,0,0,11,71,0,0,0,885,73,4,1234,8,2,0,0,0,0,43,23,0,42,0,0,0,1,22,0,0,1,0,317,0,0,0,0,0,0,360,54,0,427,0,0,0,0,0,0,8,0,0,0,0,0,21,0,0,1472,1837,0,0,24,3,0,78,0,0,10,0,1161,1,0,0,0,0,3,0,301,66,0,0,12,1,0,993,38,65,0,5,245,0,0,21,0,0,9,0,121,248,0,0,2,0,0,1,0,0,0,0,0,3,0,51,0,0,0,180,77,66,0,0,0,82,0,0,1,0,0,0,0,0,0,1,31,0,0,0,0,0,0,4,49,4,36,75,0,9,0,0,0,0,0,0,0,0,0,3,4,0,0,0,76,0,0,1,0,25,46,1,0,0,0,60,0,0,0,293,595,613,207,0,0,0,0,0,0,0,0,0,3,0,0,41,44,0,1,0,0,0,1,14,0,0,0,242,139,0,108,131,1,1226,22,422,92,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,243,128,0,5,1,283,199,0,192,0,52,186,63,0,0,0,1,2,91,0,127,0,5,2
25 Pineal Glut,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,18,0,0,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
26 P GABA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,45,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,4,0,105,0,0,8,0,0,0,0,2,1139,0,0,0,4,3,0,0,0,0,0,0,37,0,513,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,46,0,0,0,0,3,0,0,0,0,0,35,0,0,0,40,0,0,0,0,0,1157,24,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,11,471,0,2,0,0,0,0,0,17,1,0,0,0,0,0,317,0,0,54,92,0,0,282,633,0,0,0,1,0,91,0,0,0,0,0,0,0,0,930,8,0,0,188,1,0,5,0,70,0,4,1224,0,0,249,0,0,0,50,6,5,1,0,0,0,0,0,22,0,0,0,0,91,0,3,0,0,1,515,864,37,0,0,0,32,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,6,2,0,2,0,193,1,0,0,0,0,0,0,0,0,2,0,0,0,0,32,0,0,3,0,3,20,0,1,4,0,454,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,0,0,0,0,0,0,73,0,0,0,0,4,0,219,0,0,5,12,15,230,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,0,10,0,0,0,1,4,97,0,80,0,0,2,30,0,1,0,0,1,80,0,132,0,0,0
27 MY GABA,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,133,0,8,0,0,0,0,0,0,26,0,5,0,160,9,0,10,0,0,0,217,360,0,0,0,0,0,55,0,0,0,0,0,0,0,1,22,0,0,0,0,0,41,975,0,0,0,0,1,0,0,0,0,16,0,0,0,0,32,0,0,0,19,529,0,957,0,0,0,0,0,0,54,0,0,1,0,0,0,0,21,0,0,0,0,73,0,0,0,0,0,0,269,8,0,296,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2211,831,0,0,3,6,1,105,0,0,21,3,783,1,0,0,0,0,0,0,334,31,0,0,2,0,0,516,56,108,0,6,51,0,0,0,0,0,7,0,186,354,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,358,130,548,0,0,0,58,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,74,1,7,46,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13,0,0,0,1,4,16,0,0,0,0,28,0,0,0,426,219,515,55,0,0,0,0,0,0,0,0,1,0,0,0,25,102,0,0,0,0,0,0,7,0,0,0,134,32,0,212,8,0,12,21,265,66,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,82,82,0,3,1,469,177,0,108,0,50,30,41,0,0,0,0,0,22,0,46,0,5,2
